Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 	 \\ 
254601		0.474067		0.47434		0.47375		0.363062		0.356994		0.369332
254602		0.472193		0.472269		0.472115		0.339503		0.331923		0.347251
254603		0.478006		0.47863		0.477869		0.21705		0.210321		0.224672
254605		0.476817		0.477067		0.476564		0.22013		0.212622		0.22814
254608		0.477758		0.477996		0.477524		0.0511312		0.0467084		0.0562707
254612		0.476775		0.476975		0.476572		0.075551		0.0692262		0.082754
254613		0.476819		0.477013		0.47661		0.0868583		0.0787159		0.096077
254615		0.474788		0.474925		0.474646		0.187103		0.176262		0.198788
254617		0.474877		0.475007		0.474743		0.18293		0.172854		0.19376
254619		0.475364		0.4755		0.475226		0.23044		0.219211		0.242565
254621		0.475243		0.475416		0.47505		0.158781		0.148806		0.16956
254622		0.476288		0.476484		0.4761		0.26548		0.257646		0.27377
254625		0.477315		0.47746		0.476972		0.123905		0.116657		0.131755
254626		0.475712		0.475839		0.475582		0.221509		0.211763		0.232004
254627		0.474015		0.474144		0.473881		0.211098		0.200656		0.222144
254628		0.48063		0.481112		0.480339		0.252573		0.247398		0.258467
254629		0.475585		0.475726		0.475443		0.224238		0.213257		0.236142
254634		0.476247		0.47644		0.47605		0.0992377		0.0910515		0.108495
254635		0.475308		0.475546		0.475063		0.379842		0.375926		0.383914
254637		0.475106		0.475267		0.474941		0.186756		0.174646		0.200021
254639		0.474764		0.475074		0.474451		0.396191		0.392053		0.400507
254645		0.475857		0.476011		0.475701		0.217034		0.205945		0.229159
254646		0.47945		0.479939		0.479026		0.0257428		0.023315		0.0287508
254649		0.473483		0.473635		0.47333		0.288232		0.279555		0.297251
254650		0.483764		0.484423		0.483283		0.259551		0.25536		0.264339
254651		0.476006		0.476187		0.475893		0.213579		0.205706		0.22196
254653		0.473393		0.473468		0.473314		0.255025		0.245827		0.264604
254654		0.479371		0.479624		0.479118		0.00978311		0.00837483		0.0115461
254655		0.476169		0.476339		0.475996		0.139438		0.13095		0.148813
254656		0.470987		0.471004		0.47097		0.451562		0.449994		0.453134
254657		0.472955		0.473014		0.472894		0.319976		0.312199		0.327962
254658		0.472288		0.472359		0.472216		0.340294		0.333106		0.347636
254659		0.470879		0.470881		0.470882		0.470877		0.470879		0.47088
254661		0.47667		0.476789		0.476514		0.136375		0.127418		0.146248
254662		0.477671		0.477914		0.477427		0.0296481		0.0258476		0.0342398
254663		0.478592		0.478742		0.478428		0.0815206		0.0756529		0.0880924
254665		0.478001		0.478245		0.477753		0.0338375		0.0302891		0.0380634
254666		0.478213		0.478504		0.477916		0.0436007		0.0395534		0.0484267
254667		0.478757		0.479027		0.47863		0.0381851		0.0343151		0.0427487
254669		0.479025		0.479161		0.478892		0.0613304		0.056276		0.0670586
254670		0.476812		0.476998		0.476595		0.166822		0.156594		0.178111
