Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 	 \\ 
254600		0.496647		0.496697		0.496702		0.491006		0.490638		0.491487
254601		0.495729		0.495701		0.495826		0.421518		0.416795		0.426275
254602		0.495598		0.495578		0.495628		0.398178		0.391972		0.404414
254603		0.495816		0.49581		0.495845		0.442296		0.438634		0.445978
254604		0.496083		0.496232		0.4963		0.211895		0.196969		0.227729
254605		0.495979		0.495958		0.496189		0.301395		0.289491		0.313686
254606		0.496285		0.496272		0.496232		0.213658		0.19891		0.229039
254607		0.496065		0.496063		0.496067		0.328849		0.318612		0.339246
254608		0.496266		0.496287		0.496231		0.290662		0.278294		0.303285
254609		0.496178		0.496202		0.496076		0.192891		0.178102		0.208412
254610		0.495522		0.49549		0.495564		0.387702		0.380959		0.394488
254611		0.496215		0.496242		0.496107		0.163012		0.147571		0.179332
254612		0.49548		0.496077		0.495647		0.365188		0.357614		0.373774
254613		0.496056		0.496067		0.496064		0.271224		0.258061		0.284736
254614		0.495662		0.495627		0.496101		0.413609		0.408072		0.419551
254615		0.496132		0.496137		0.496002		0.15714		0.142053		0.173104
254617		0.496074		0.496058		0.496062		0.329109		0.318978		0.339366
254618		0.495587		0.495476		0.495525		0.371512		0.363881		0.379144
254619		0.495681		0.495724		0.495746		0.414366		0.409357		0.419464
254620		0.495983		0.495937		0.496145		0.307156		0.295748		0.318901
254621		0.496037		0.496034		0.496232		0.285123		0.273135		0.29754
254622		0.496237		0.496065		0.49607		0.305104		0.293766		0.316347
254623		0.495796		0.495797		0.495809		0.435055		0.431051		0.439062
254625		0.49604		0.496197		0.496049		0.266566		0.253381		0.280235
254626		0.495582		0.495669		0.495473		0.373767		0.366302		0.381399
254627		0.495581		0.495563		0.495617		0.396437		0.389542		0.403384
254628		0.496103		0.496096		0.496114		0.243197		0.229871		0.256964
254629		0.496231		0.496171		0.496097		0.0351291		0.0267384		0.0455716
254630		0.496074		0.49607		0.496072		0.139839		0.124513		0.156403
254631		0.496231		0.49604		0.496059		0.319952		0.309046		0.330714
254632		0.495812		0.49582		0.495774		0.428524		0.424202		0.432848
254633		0.495801		0.495707		0.495753		0.422952		0.417881		0.427982
254634		0.495992		0.495857		0.496147		0.212747		0.198083		0.228153
254635		0.496058		0.496249		0.496064		0.308759		0.29745		0.320429
254636		0.496936		0.496963		0.496901		0.457327		0.454623		0.460023
254637		0.495881		0.496257		0.495957		0.285078		0.272969		0.297914
254638		0.496116		0.49613		0.496129		0.131206		0.11603		0.147689
254639		0.495621		0.495598		0.495684		0.405276		0.399558		0.411032
254641		0.495062		0.495067		0.495107		0.477603		0.47648		0.47876
254643		0.495365		0.495342		0.495119		0.480829		0.479724		0.481684
254644		0.496062		0.496247		0.496063		0.315823		0.305141		0.326842
254645		0.496173		0.496186		0.496184		0.210169		0.194749		0.226309
254646		0.49601		0.49612		0.496038		0.277802		0.264175		0.291883
254647		0.496186		0.496193		0.496055		0.212288		0.197204		0.227916
254648		0.496982		0.497018		0.497082		0.459784		0.457532		0.461981
254649		0.496129		0.496153		0.496166		0.0669264		0.0541719		0.0819027
254650		0.4957		0.495623		0.495695		0.410507		0.404814		0.416207
254651		0.496095		0.496267		0.496071		0.307249		0.295897		0.318958
254652		0.496063		0.496149		0.496074		0.166372		0.151856		0.181943
254653		0.496092		0.496052		0.496038		0.255874		0.242321		0.269838
254654		0.496212		0.496195		0.496324		0.187274		0.171887		0.203562
254655		0.496021		0.495996		0.496229		0.280579		0.268782		0.2928
254656		0.495636		0.495604		0.495732		0.405455		0.399427		0.411533
254657		0.49612		0.496121		0.496249		0.15741		0.141733		0.174299
254658		0.496103		0.496131		0.496246		0.161279		0.14561		0.178095
254659		0.497137		0.498824		0.494102		0.462836		0.462833		0.462252
254660		0.495868		0.495852		0.498964		0.448464		0.444916		0.454972
254661		0.497324		0.497105		0.497164		0.463801		0.461204		0.466369
254662		0.496855		0.496884		0.49707		0.459255		0.456688		0.461835
254663		0.495403		0.496065		0.49562		0.363264		0.355095		0.37241
254665		0.4955		0.495483		0.495548		0.384602		0.377293		0.391982
254666		0.496071		0.496049		0.496074		0.322798		0.31209		0.333666
254667		0.496092		0.49608		0.496062		0.330991		0.321208		0.340926
254669		0.496049		0.49603		0.496259		0.286674		0.274139		0.299667
254670		0.495793		0.495762		0.495806		0.431311		0.426981		0.43565
254671		0.496273		0.496054		0.496057		0.341733		0.332021		0.351181
254672		0.495816		0.49581		0.495846		0.442702		0.439042		0.446386
254673		0.496069		0.496064		0.495419		0.359764		0.351058		0.367779
254674		0.497176		0.497238		0.49712		0.458188		0.45574		0.460645
254675		0.497104		0.497236		0.496994		0.466138		0.463895		0.468084
254676		0.496967		0.496952		0.496483		0.496322		0.496251		0.495856
254677		0.495087		0.494994		0.495237		0.478009		0.476734		0.479334
254678		0.496717		0.495715		0.496674		0.490467		0.489224		0.490818
254679		0.496857		0.496488		0.49692		0.494139		0.493632		0.494446
254680		0.494735		0.494757		0.494859		0.472411		0.471022		0.473995
254681		0.497239		0.497022		0.497141		0.463383		0.460977		0.465817
254682		0.497265		0.497053		0.497121		0.46389		0.461522		0.466245
254683		0.496899		0.497041		0.49664		0.469152		0.467502		0.470687
254684		0.499023		0.495834		0.496989		0.454417		0.448327		0.455065
254685		0.496989		0.497027		0.498844		0.458291		0.455752		0.462909
254686		0.496958		0.496996		0.497211		0.460622		0.458312		0.462998
254687		0.496973		0.497106		0.496775		0.468434		0.466661		0.470144
254688		0.497119		0.496892		0.494105		0.462738		0.460443		0.462334
254690		0.497133		0.497204		0.497027		0.465613		0.463205		0.467679
254691		0.497056		0.496976		0.497275		0.461241		0.459088		0.463718
